rep,n,cvd_selected,cvd_rank,cvd_importance,pval_cvd,reject,topk_vars,error
13,20000,1,1.0,0.6554650308380373,4.15801981062006e-33,1,cvd_pre|age|Charlson|bld_thinner_pre|opiods_pre|mets_site_Visceral|arf_renal_pre|anti_arr_pre|dementia_pre|smoker_copd_pre,
20,20000,1,1.0,0.6596033924294582,2.345241146717511e-33,1,cvd_pre|age|Charlson|smoker_copd_pre|dementia_pre|mets_site_Visceral|opiods_pre|mets_site_Bone|trt_prev_ADT_only|bld_thinner_pre,
21,20000,1,1.0,0.6576276800773196,1.6115275331376885e-38,1,cvd_pre|Charlson|age|htn_pre|trt_prev_ARPI|trt_prev_Other|mets_site_Visceral|opiods_pre|arf_renal_pre|trt_prev_ADT_only,
47,20000,1,1.0,0.6591231614197764,7.9918489424262e-37,1,cvd_pre|age|Charlson|anti_arr_pre|opiods_pre|dementia_pre|mets_site_Visceral|bld_thinner_pre|smoker_copd_pre|mets_site_Bone,
52,20000,1,1.0,0.6595681384174698,4.106136325575043e-40,1,cvd_pre|age|Charlson|opiods_pre|mets_site_Visceral|dementia_pre|bld_thinner_pre|Abiraterone_prev|htn_pre|anti_arr_pre,
56,20000,1,1.0,0.6593282765923889,1.3889719114106927e-34,1,cvd_pre|age|Charlson|htn_pre|arf_renal_pre|dementia_pre|mets_site_Bone|opiods_pre|smoker_copd_pre|Abiraterone_prev,
71,20000,1,1.0,0.6552514625964003,7.395630635765457e-33,1,cvd_pre|age|Charlson|trt_prev_Other|anti_arr_pre|opiods_pre|any_infect_pre|dementia_pre|trt_prev_ARPI|htn_pre,
74,20000,1,1.0,0.6613277115587819,4.452938184127823e-34,1,cvd_pre|age|Charlson|anti_arr_pre|smoker_copd_pre|mets_site_Visceral|any_infect_pre|trt_prev_ARPI|trt_prev_ADT_only|dementia_pre,
85,20000,1,1.0,0.6520727163174264,1.1175315589731737e-31,1,cvd_pre|Charlson|age|anti_arr_pre|bld_thinner_pre|dementia_pre|htn_pre|smoker_copd_pre|Abiraterone_prev|opiods_pre,
97,20000,1,1.0,0.6581627914296889,1.1524085589361346e-33,1,cvd_pre|Charlson|age|dementia_pre|trt_prev_Other|anti_arr_pre|bld_thinner_pre|race_cat|mets_site_Bone|dm_pre,
98,20000,1,1.0,0.6589625996477438,6.791155066791404e-38,1,cvd_pre|age|Charlson|bld_thinner_pre|mets_site_Visceral|dementia_pre|mets_site_Bone|arf_renal_pre|trt_prev_ADT_only|opiods_pre,
2,20000,1,1.0,0.6573247004329258,2.479440553825879e-35,1,cvd_pre|Charlson|age|arf_renal_pre|bld_thinner_pre|smoker_copd_pre|opiods_pre|Abiraterone_prev|dementia_pre|mets_site_Bone,
4,20000,1,1.0,0.6567961211897974,5.130798236111394e-29,1,cvd_pre|age|Charlson|bld_thinner_pre|dementia_pre|arf_renal_pre|race_cat|mets_site_Bone|opiods_pre|anti_arr_pre,
5,20000,1,1.0,0.6545549818240188,6.844420144883588e-30,1,cvd_pre|age|Charlson|dementia_pre|smoker_copd_pre|Enzalutamide_prev|bld_thinner_pre|opiods_pre|anti_arr_pre|trt_prev_ADT_only,
