rep,n,cvd_rank,cvd_importance,pval_cvd,reject,error
81,1000,15.0,0.0,0.0008765000310639293,1,
81,2000,7.0,0.007024390243902439,2.5787228423382903e-05,1,
81,5000,1.0,0.6407957721987407,3.4444246690761243e-16,1,
91,200,15.0,0.0,0.16656024722898935,0,
91,500,15.0,0.0,0.0046682747027751315,1,
91,1000,15.0,0.0,0.18470988781430034,0,
91,2000,5.0,0.02669268292682927,3.661205970408288e-05,1,
91,5000,1.0,0.35582824899248605,0.00010277062855184068,1,
6,200,15.0,0.0,0.544110465044364,0,
6,500,15.0,0.0,0.0028748277797406335,1,
6,1000,15.0,0.0,0.02347893117753086,1,
6,2000,5.0,0.049170731707317075,1.3320070813383652e-06,1,
6,5000,1.0,0.5416697519035325,1.0404212738953155e-07,1,
11,200,15.0,0.0,0.4291414888726962,0,
11,500,15.0,0.0,0.8731902546492138,0,
11,1000,15.0,0.0,0.0818141866500157,0,
11,2000,7.0,0.028097560975609757,3.0344909279683346e-06,1,
11,5000,1.0,0.5894888715176942,7.65586492220545e-08,1,
37,200,15.0,0.0,0.7413113030577378,0,
37,500,15.0,0.0,0.0010335185672456103,1,
37,1000,15.0,0.0,0.41533163362916803,0,
37,2000,8.0,0.0035121951219512196,0.0011779282790447267,1,
37,5000,1.0,0.5670667504803361,3.884744779543802e-09,1,
69,200,15.0,0.0,0.8741236200498077,0,
69,500,15.0,0.0,0.005197063846480655,1,
69,1000,15.0,0.0,0.3557534826649966,0,
69,2000,8.0,0.0014048780487804877,0.00011640401408418184,1,
69,5000,1.0,0.5778744551389724,2.1427531159538667e-08,1,
80,200,15.0,0.0,0.5199121756113797,0,
80,500,15.0,0.0,0.00023908561872954939,1,
80,1000,15.0,0.0,0.023904077683696356,1,
80,2000,9.0,0.0014048780487804877,0.002258545481940604,1,
80,5000,1.0,0.6056940394612063,1.5824283094027024e-08,1,
90,200,15.0,0.0,0.9561900127084741,0,
90,500,15.0,0.0,0.02808156653978646,1,
90,1000,15.0,0.0,0.024158720512101464,1,
90,2000,9.0,0.003160975609756097,0.0002662338627187223,1,
90,5000,1.0,0.6331627178524373,6.882240048312693e-11,1,
14,200,15.0,0.0,0.41401798754945607,0,
14,500,15.0,0.0,0.7638432638650254,0,
14,1000,15.0,0.0,2.1795258913534252e-05,1,
14,2000,8.0,0.012292682926829269,0.0014048274272751976,1,
14,5000,1.0,0.5722049821612121,1.8480069645446156e-08,1,
18,200,15.0,0.0,0.21509360978539616,0,
18,500,15.0,0.0,0.05127569972259189,0,
18,1000,15.0,0.0,0.06745720531725742,0,
18,2000,11.0,0.0003512195121951219,0.00184202776027175,1,
18,5000,1.0,0.5785348030905976,6.375096934829917e-09,1,
35,200,15.0,0.0,0.01952748888311823,1,
35,500,15.0,0.0,0.010742853992433134,1,
35,1000,15.0,0.0,0.0026153592921112968,1,
35,2000,7.0,0.0073792994058004616,1.3284030105454845e-05,1,
35,5000,1.0,0.6447353335535869,9.535765717730859e-14,1,
38,200,15.0,0.0,0.024419414518423554,1,
38,500,15.0,0.0,0.51671852718543,0,
38,1000,15.0,0.0,9.471706696131004e-05,1,
38,2000,9.0,0.0024585365853658538,0.0008936718358615938,1,
38,5000,1.0,0.6146406498105799,1.9249462681714207e-10,1,
46,200,15.0,0.0,0.5974398964880306,0,
46,500,15.0,0.0,0.2255621752656441,0,
46,1000,15.0,0.0,0.01002604350306573,1,
